track_name,artist_name,album_name,track_url,popularity,duration_ms,primary_genre
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,100,251667,art pop
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,86,171291,modern country pop
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,97,210373,art pop
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj,89,210688,UNKNOWN
APT.,"ROSÉ, Bruno Mars",APT.,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,96,169917,k-pop
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,96,166300,alt z
luther (with sza),"Kendrick Lamar, SZA",GNX,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,90,177598,conscious hip hop
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,83,178205,dfw rap
Espresso,Sabrina Carpenter,Please Please Please,https://open.spotify.com/track/1vLqigPHwiFnXsfrLMehV1,61,175459,pop
Taste,Sabrina Carpenter,Short n' Sweet,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,91,157279,pop
TV Off,buniisings11,TV Off,https://open.spotify.com/track/5VZOfDABNiyaC0OmwV7WIm,0,221050,UNKNOWN
Beautiful Things,Benson Boone,Fireworks & Rollerblades,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,88,180304,singer-songwriter pop
Love Somebody,Morgan Wallen,Love Somebody,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,84,204828,contemporary country
Too Sweet,Hozier,Unreal Unearth: Unaired,https://open.spotify.com/track/19XpFsce28aByvCC4g89tJ,84,251424,irish singer-songwriter
